iter	Passed	Remaining
582	19898	82494
583	19931	82455
584	19966	82425
585	19975	82288
586	19999	82212
587	20039	82203
588	20079	82191
589	20114	82163
590	20121	82018
591	20156	81986
592	20189	81950
593	20217	81889
594	20240	81813
595	20279	81797
596	20311	81755
597	20327	81651
598	20361	81616
599	20393	81574
600	20425	81533
601	20464	81518
602	20498	81485
603	20525	81421
604	20553	81364
605	20560	81223
606	20593	81185
607	20599	81043
608	20604	80895
609	20640	80869
610	20677	80848
611	20711	80815
612	20741	80766
613	20779	80749
614	20814	80718
615	20847	80684
616	20880	80646
617	20900	80559
618	20934	80525
619	20969	80495
620	21001	80455
621	21042	80447
622	21080	80430
623	21117	80408
624	21152	80379
625	21186	80344
626	21214	80288
627	21252	80272
628	21288	80246
629	21322	80213
630	21355	80175
631	21367	80059
632	21405	80043
633	21411	79906
634	21449	79885
635	21484	79857
636	21515	79813
637	21548	79778
638	21585	79756
639	21621	79730
640	21650	79676
641	21688	79659
642	21716	79604
643	21751	79573
644	21784	79537
645	21816	79500
646	21826	79380
647	21859	79342
648	21884	79277
649	21918	79244
650	21943	79179
651	21976	79142
652	22006	79094
653	22039	79057
654	22072	79022
655	22100	78968
656	22135	78940
657	22170	78910
658	22202	78872
659	22232	78824
660	22269	78800
661	22298	78751
662	22334	78727
663	22371	78704
664	22412	78698
665	22446	78664
666	22482	78639
667	22511	78589
668	22540	78536
669	22574	78506
670	22602	78452
671	22635	78414
672	22671	78390
673	22711	78377
674	22744	78342
675	22768	78274
676	22798	78228
677	22806	78107
678	22831	78045
679	22844	77939
680	22880	77914
681	22918	77895
682	22947	77846
683	22976	77796
684	22991	77700
685	23019	77649
686	23057	77631
687	23093	77604
688	23130	77581
689	23153	77514
690	23182	77466
691	23210	77412
692	23249	77396
693	23282	77362
694	23317	77334
695	23351	77301
696	23386	77272
697	23418	77235
698	23456	77216
699	23491	77186
700	23526	77158
701	23563	77134
702	23595	77094
703	23632	77073
704	23669	77052
705	23702	77015
706	23735	76980
707	23761	76922
708	23789	76871
709	23823	76837
710	23858	76810
711	23884	76753
712	23906	76680
713	23940	76648
714	23976	76624
715	24012	76597
716	24044	76561
717	24070	76501
718	24089	76423
719	24111	76354
720	24141	76309
721	24168	76253
722	24208	76240
723	24220	76139
724	24248	76090
725	24285	76066
726	24317	76028
727	24354	76006
728	24389	75978
729	24430	75969
730	24464	75937
731	24494	75891
732	24528	75859
733	24551	75793
734	24563	75696
735	24578	75606
736	24624	75609
737	24652	75562
738	24685	75527
739	24721	75501
740	24755	75469
741	24792	75446
742	24812	75372
743	24850	75351
744	24887	75329
745	24929	75324
746	24969	75308
747	25008	75292
748	25043	75265
749	25062	75188
750	25099	75165
751	25132	75131
752	25166	75098
753	25209	75094
754	25245	75067
755	25273	75018
756	25310	74994
757	25343	74960
758	25378	74930
759	25409	74892
760	25449	74877
761	25482	74842
762	25515	74806
763	25549	74776
764	25585	74751
765	25614	74704
766	25650	74678
767	25670	74606
768	25710	74590
769	25740	74545
770	25772	74509
771	25804	74471
772	25832	74423
773	25863	74383
774	25878	74296
775	25914	74271
776	25943	74225
777	25976	74189
778	26003	74138
779	26024	74070
780	26057	74034
781	26083	73981
782	26119	73954
783	26156	73931
784	26188	73894
785	26209	73826
786	26244	73796
787	26275	73759
788	26311	73733
789	26328	73652
790	26342	73566
791	26374	73528
792	26408	73497
793	26444	73471
794	26485	73458
795	26521	73433
796	26554	73399
797	26590	73373
798	26618	73326
799	26658	73311
800	26690	73274
801	26722	73238
802	26754	73200
803	26793	73183
804	26829	73155
805	26861	73120
806	26894	73086
807	26923	73040
808	26961	73018
809	27000	73001
810	27031	72961
811	27065	72929
812	27102	72906
813	27134	72868
814	27174	72854
815	27205	72813
816	27238	72780
817	27266	72733
818	27286	72665
819	27306	72594
820	27344	72573
821	27379	72545
822	27416	72521
823	27451	72492
824	27486	72463
825	27512	72412
826	27533	72346
827	27573	72330
828	27609	72303
829	27640	72265
830	27671	72224
831	27699	72178
832	27739	72161
833	27765	72110
834	27792	72060
835	27816	72004
836	27837	71939
837	27868	71900
838	27907	71880
839	27942	71851
840	27973	71811
841	27987	71730
842	28026	71711
